Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,66,42,44,7,3,5,72,34,6,0,1,0.667,0.685,1.091,0.424,1.776,0.581,0.741
Qaiser Patel,37,23,27,9,0,0,36,14,4,0,2,0.730,0.721,0.973,0.243,1.694,0.568,0.703
Oliver Patton,52,28,34,12,1,5,63,27,1,1,2,0.654,0.636,1.212,0.558,1.848,0.589,0.766
Luke Heuer,49,19,30,5,7,1,52,32,1,1,2,0.612,0.596,1.061,0.449,1.657,0.533,0.683
Joe Edwards,53,17,36,9,5,2,61,25,0,0,3,0.679,0.643,1.151,0.472,1.794,0.577,0.740
Rich Squitieri,54,17,31,3,1,0,36,26,3,1,1,0.574,0.586,0.667,0.093,1.253,0.430,0.544
Nick Mirman,34,10,20,3,0,0,23,10,2,1,0,0.588,0.611,0.676,0.088,1.287,0.444,0.565
Derek Bayes,14,4,7,0,0,0,7,2,1,0,0,0.500,0.533,0.500,0.000,1.033,0.365,0.462
Nick Hanten,42,14,24,4,0,0,28,14,4,0,2,0.571,0.583,0.667,0.096,1.250,0.429,0.535
Charlie Henschen,19,11,13,2,1,0,17,7,1,0,0,0.684,0.700,0.895,0.211,1.595,0.539,0.688
Scott Richardson,54,17,27,4,2,2,41,18,2,1,0,0.500,0.518,0.759,0.259,1.277,0.423,0.549
Amory Meltzer,45,19,20,5,0,0,25,18,3,1,1,0.444,0.469,0.556,0.112,1.025,0.350,0.445
Gordon Walker,43,16,21,0,0,0,21,15,4,0,0,0.488,0.532,0.488,0.000,1.020,0.361,0.457
Matt Turner,20,4,7,0,0,0,7,2,4,1,0,0.350,0.458,0.350,0.000,0.808,0.294,0.376
Total:,633,261,368,69,20,15,522,261,40,8,15,0.581,0.593,0.825,0.244,1.418,0.473,0.602
