Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,44,19,27,4,1,4,45,22,2,1,0,0.614,0.630,1.023,0.409,1.653,0.539,0.704
Qaiser Patel,33,17,22,4,0,0,26,11,1,0,0,0.667,0.676,0.788,0.121,1.464,0.501,0.641
Oliver Patton,19,8,11,4,0,0,15,2,1,0,0,0.579,0.600,0.789,0.210,1.389,0.467,0.601
Joe Edwards,52,14,27,4,2,0,35,23,4,0,1,0.519,0.544,0.673,0.154,1.217,0.413,0.523
Rich Squitieri,46,18,27,2,0,0,29,14,5,2,0,0.587,0.627,0.630,0.043,1.257,0.440,0.555
Nick Mirman,24,9,8,1,0,0,9,10,1,0,2,0.333,0.333,0.375,0.042,0.708,0.244,0.304
Nick Hanten,45,16,21,4,1,0,27,11,3,1,0,0.467,0.500,0.600,0.133,1.100,0.375,0.480
Nick Hurlburt,61,21,30,2,1,1,37,14,3,1,0,0.492,0.516,0.607,0.115,1.123,0.384,0.492
Scott Richardson,36,11,19,6,0,0,25,15,2,0,2,0.528,0.525,0.694,0.166,1.219,0.410,0.515
Amory Meltzer,44,6,14,0,0,0,14,10,2,3,1,0.318,0.340,0.318,0.000,0.658,0.233,0.295
David Holm,41,17,24,4,0,0,28,15,3,0,0,0.585,0.614,0.683,0.098,1.297,0.447,0.568
Dan Prince,31,15,18,4,3,3,37,22,1,0,2,0.581,0.559,1.194,0.613,1.753,0.550,0.704
Joey Owen,34,11,19,5,2,0,28,14,1,0,0,0.559,0.571,0.824,0.265,1.395,0.463,0.599
Sean Aronow,13,3,4,0,0,0,4,3,0,0,0,0.308,0.308,0.308,0.000,0.616,0.216,0.274
Total:,548,192,284,46,10,9,377,192,30,11,10,0.419,0.419,0.548,0.129,0.967,0.326,0.420
