"Player",AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
"Andrew Burch",3,2,2,0,0,1,5,5,0,0,0,0.667,0.667,1.667,1.000,2.334,0.717,0.987
"Oliver Patton",2,0,0,0,0,0,0,0,1,0,0,0.000,0.333,0.000,0.000,0.333,0.150,0.233
"Qaiser Patel",1,0,1,0,0,0,1,2,2,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.763
"Luke Heuer",3,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Derek Bayes",3,0,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
"Joe Edwards",3,1,2,0,0,1,5,1,0,0,0,0.667,0.667,1.667,1.000,2.334,0.717,0.987
"Rich Squitieri",2,0,1,0,0,0,1,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
"Nick Mirman",1,0,0,0,0,0,0,0,1,0,0,0.000,0.500,0.000,0.000,0.500,0.225,0.350
"Nick Hanten",2,1,1,0,0,0,1,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
"Charlie Henschen",2,0,1,0,0,0,1,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
"Amory Meltzer",1,2,0,0,0,0,0,0,1,0,0,0.000,0.500,0.000,0.000,0.500,0.225,0.350
"Gordon Walker",1,2,0,0,0,0,0,0,1,0,0,0.000,0.500,0.000,0.000,0.500,0.225,0.350
"Total:",24,8,9,0,0,2,15,8,6,0,0,0.375,0.500,0.625,0.250,1.125,0.381,0.486
