"Player",AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
"Andrew Burch",26,21,21,3,2,2,34,17,3,0,0,0.808,0.828,1.308,0.500,2.136,0.700,0.887
"Oliver Patton",27,14,17,6,1,2,31,14,1,1,1,0.630,0.621,1.148,0.518,1.769,0.566,0.731
"Derek Bayes",9,4,5,0,0,0,5,1,1,0,0,0.556,0.600,0.556,0.000,1.156,0.409,0.515
"Joe Edwards",23,9,17,5,3,1,31,12,0,0,1,0.739,0.708,1.348,0.609,2.056,0.656,0.849
"Rich Squitieri",23,6,15,2,1,0,19,14,2,0,1,0.652,0.654,0.826,0.174,1.480,0.501,0.624
"Nick Hanten",22,7,12,0,0,0,12,6,1,0,0,0.545,0.565,0.545,0.000,1.110,0.390,0.495
"Charlie Henschen",19,11,13,2,1,0,17,7,1,0,0,0.684,0.700,0.895,0.211,1.595,0.539,0.688
"Scott Richardson",20,8,11,1,0,1,15,6,1,0,0,0.550,0.571,0.750,0.200,1.321,0.444,0.574
"Amory Meltzer",22,11,12,2,0,0,14,11,1,0,0,0.545,0.565,0.636,0.091,1.201,0.413,0.528
"Gordon Walker",21,11,11,0,0,0,11,7,2,0,0,0.524,0.565,0.524,0.000,1.089,0.385,0.487
"Luke Heuer",22,11,15,2,6,1,32,16,1,1,1,0.682,0.667,1.455,0.773,2.122,0.664,0.846
"Nick Mirman",8,3,5,0,0,0,5,4,1,0,0,0.625,0.667,0.625,0.000,1.292,0.456,0.572
"Andrew Scott",7,3,4,0,0,0,4,1,0,0,0,0.571,0.571,0.571,0.000,1.142,0.400,0.509
"Qaiser Patel",9,5,7,2,0,0,9,7,2,0,1,0.778,0.750,1.000,0.222,1.750,0.588,0.699
"Total:",264,127,169,27,14,7,245,127,18,2,5,0.640,0.652,0.928,0.288,1.580,0.525,0.668
