Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Qaiser Patel,4,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Oliver Patton,3,2,2,0,1,0,4,0,1,0,0,0.667,0.750,1.333,0.666,2.083,0.671,0.800
Rich Squitieri,3,2,2,0,1,0,4,1,1,0,0,0.667,0.750,1.333,0.666,2.083,0.671,0.800
Nick Mirman,4,0,2,0,0,0,2,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Nick Hanten,3,1,1,1,0,0,2,2,0,0,1,0.333,0.250,0.667,0.334,0.917,0.279,0.318
Scott Richardson,4,0,2,0,0,0,2,1,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Brandon Tautges,4,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Andrew Bernard,4,0,3,0,0,0,3,0,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Amory Meltzer,4,0,2,0,0,0,2,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Total:,33,5,14,1,2,0,19,5,2,0,1,0.424,0.444,0.576,0.152,1.020,0.344,0.436
