Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Qaiser Patel,12,2,4,1,0,0,5,1,0,0,0,0.333,0.333,0.417,0.084,0.750,0.254,0.328
Oliver Patton,13,7,6,0,1,1,11,4,3,0,0,0.462,0.562,0.846,0.384,1.408,0.464,0.584
Joe Edwards,4,0,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.000,0.500,0.175,0.223
Rich Squitieri,13,7,10,2,2,0,16,6,3,0,0,0.769,0.812,1.231,0.462,2.043,0.673,0.825
Nick Mirman,15,4,8,2,0,0,10,4,0,1,0,0.533,0.533,0.667,0.134,1.200,0.407,0.525
Nick Hanten,12,4,4,1,0,0,5,6,1,0,2,0.333,0.333,0.417,0.084,0.750,0.254,0.309
Scott Richardson,11,2,4,0,0,0,4,1,0,1,0,0.364,0.364,0.364,0.000,0.728,0.255,0.324
Amory Meltzer,13,4,8,2,0,0,10,6,0,0,0,0.615,0.615,0.769,0.154,1.384,0.469,0.606
Matt Turner,5,0,0,0,0,0,0,1,0,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Nick Hurlburt,11,2,7,2,0,0,9,5,1,0,0,0.636,0.667,0.818,0.182,1.485,0.505,0.641
Curtis Yip,4,0,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.000,0.500,0.175,0.223
Brandon Tautges,6,2,1,0,0,0,1,0,1,0,0,0.167,0.286,0.167,0.000,0.453,0.170,0.227
Andrew Bernard,4,0,3,0,0,0,3,0,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Total:,123,34,57,10,3,1,76,34,9,3,3,0.463,0.489,0.618,0.155,1.107,0.375,0.475
