Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,120,68,76,13,5,10,129,58,11,1,1,0.633,0.659,1.075,0.442,1.734,0.565,0.725
Qaiser Patel,91,48,57,16,0,0,73,29,6,0,3,0.626,0.630,0.802,0.176,1.432,0.484,0.610
Oliver Patton,96,52,58,17,2,8,103,43,5,1,2,0.604,0.612,1.073,0.469,1.685,0.544,0.703
Luke Heuer,49,19,30,5,7,1,52,32,1,1,2,0.612,0.596,1.061,0.449,1.657,0.533,0.683
Joe Edwards,121,35,72,13,8,2,107,52,4,0,4,0.595,0.589,0.884,0.289,1.473,0.486,0.620
Rich Squitieri,119,46,74,6,3,0,86,50,14,1,1,0.622,0.657,0.723,0.101,1.380,0.476,0.598
Nick Mirman,88,28,46,6,0,0,52,33,6,2,2,0.523,0.542,0.591,0.068,1.133,0.392,0.494
Nick Hanten,96,33,47,9,1,0,58,30,8,1,4,0.490,0.509,0.604,0.114,1.113,0.380,0.477
Nick Hurlburt,89,27,44,6,1,1,55,26,5,1,1,0.494,0.516,0.618,0.124,1.134,0.387,0.493
Scott Richardson,107,31,51,10,2,2,71,38,4,3,3,0.477,0.482,0.664,0.187,1.146,0.383,0.489
Amory Meltzer,108,32,47,7,0,0,54,33,4,4,2,0.435,0.447,0.500,0.065,0.947,0.326,0.415
Gordon Walker,61,19,28,0,0,0,28,17,4,0,0,0.459,0.492,0.459,0.000,0.951,0.336,0.426
Brandon Tautges,28,10,9,0,0,0,9,5,3,0,0,0.321,0.387,0.321,0.000,0.708,0.254,0.326
Matt Turner,46,11,15,1,0,0,16,6,8,4,1,0.326,0.418,0.348,0.022,0.766,0.275,0.351
David Holm,35,16,21,4,0,0,25,13,3,0,0,0.600,0.632,0.714,0.114,1.346,0.463,0.587
Dan Prince,32,15,19,5,3,3,39,24,1,0,2,0.594,0.571,1.219,0.625,1.790,0.562,0.720
Joey Owen,31,10,17,5,1,0,24,14,1,0,0,0.548,0.562,0.774,0.226,1.336,0.446,0.577
Total:,1423,536,771,131,34,28,1054,536,91,20,30,0.542,0.558,0.741,0.199,1.299,0.436,0.555
