"Player",AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
"Andrew Burch",4,2,3,0,0,1,6,2,0,0,0,0.750,0.750,1.500,0.750,2.250,0.713,0.962
"Brandon Tautges",2,2,1,0,0,0,1,1,2,0,0,0.500,0.750,0.500,0.000,1.250,0.463,0.573
"Nick Hurlburt",2,1,1,0,0,0,1,1,1,0,1,0.500,0.500,0.500,0.000,1.000,0.350,0.397
"Luke Heuer",4,1,2,0,0,0,2,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
"Joe Edwards",3,2,2,1,0,1,6,4,0,0,1,0.667,0.500,2.000,1.333,2.500,0.725,0.835
"Nick Mirman",3,1,2,0,0,0,2,1,1,0,0,0.667,0.750,0.667,0.000,1.417,0.504,0.620
"Nick Hanten",2,0,0,0,0,0,0,0,2,0,0,0.000,0.500,0.000,0.000,0.500,0.225,0.350
"Amory Meltzer",3,1,0,0,0,0,0,1,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Scott Richardson",4,1,4,0,0,0,4,1,0,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.890
"Doug Banda",4,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Total:",31,11,15,1,0,2,22,11,6,1,3,0.484,0.525,0.710,0.226,1.235,0.414,0.507
