"Player",AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
"Andrew Burch",7,1,2,1,0,0,3,0,0,0,0,0.286,0.286,0.429,0.143,0.715,0.236,0.309
"Qaiser Patel",7,4,4,2,0,0,6,1,0,0,0,0.571,0.571,0.857,0.286,1.428,0.471,0.617
"Oliver Patton",5,3,3,1,0,1,7,4,0,0,0,0.600,0.600,1.400,0.800,2.000,0.620,0.846
"Luke Heuer",2,0,1,0,0,0,1,2,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
"Rich Squitieri",5,0,2,0,0,0,2,2,0,0,0,0.400,0.400,0.400,0.000,0.800,0.280,0.356
"Joe Edwards",5,1,3,0,0,0,3,0,0,0,0,0.600,0.600,0.600,0.000,1.200,0.420,0.534
"Nick Mirman",2,0,1,0,0,0,1,0,0,1,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
"Derek Bayes",5,0,2,0,0,0,2,1,0,0,0,0.400,0.400,0.400,0.000,0.800,0.280,0.356
"Nick Hanten",5,2,4,2,0,0,6,0,0,0,0,0.800,0.800,1.200,0.400,2.000,0.660,0.864
"Scott Richardson",2,1,1,1,0,0,2,1,0,0,0,0.500,0.500,1.000,0.500,1.500,0.475,0.635
"Amory Meltzer",5,1,3,1,0,0,4,1,0,0,0,0.600,0.600,0.800,0.200,1.400,0.470,0.610
"Gordon Walker",5,1,1,0,0,0,1,2,0,0,0,0.200,0.200,0.200,0.000,0.400,0.140,0.178
"Matt Turner",5,0,1,0,0,0,1,0,0,0,0,0.200,0.200,0.200,0.000,0.400,0.140,0.178
"Total:",60,14,28,8,0,1,39,14,0,1,0,0.467,0.467,0.650,0.183,1.117,0.373,0.486
