Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
David Holm,3,1,1,0,0,0,1,1,1,0,0,0.333,0.500,0.333,0.000,0.833,0.308,0.397
Rich Squitieri,1,2,0,0,0,0,0,1,3,0,0,0.000,0.750,0.000,0.000,0.750,0.338,0.525
Qaiser Patel,4,2,4,1,0,0,5,4,0,0,0,1.000,1.000,1.250,0.250,2.250,0.762,0.985
Joey Owen,4,1,3,1,0,0,4,1,0,0,0,0.750,0.750,1.000,0.250,1.750,0.588,0.762
Dan Prince,3,1,1,0,0,1,4,4,0,0,1,0.333,0.250,1.333,1.000,1.583,0.446,0.517
Joe Edwards,3,1,0,0,0,0,0,0,1,0,0,0.000,0.250,0.000,0.000,0.250,0.113,0.175
Nick Hanten,3,2,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Nick Hurlburt,3,0,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Scott Richardson,2,2,2,0,0,0,2,1,1,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.827
Amory Meltzer,3,1,1,0,0,0,1,1,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Total:,29,13,14,2,0,1,19,13,6,0,1,0.483,0.556,0.655,0.172,1.211,0.414,0.517
