Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,18,9,11,2,0,2,19,9,2,1,0,0.611,0.650,1.056,0.445,1.706,0.556,0.716
Qaiser Patel,22,14,17,3,0,0,20,9,1,0,0,0.773,0.783,0.909,0.136,1.692,0.580,0.738
Joe Edwards,23,7,12,1,1,0,15,8,2,0,1,0.522,0.538,0.652,0.130,1.190,0.405,0.507
Rich Squitieri,14,6,7,1,0,0,8,5,3,0,0,0.500,0.588,0.571,0.071,1.159,0.407,0.512
Nick Mirman,7,1,1,0,0,0,1,4,1,0,1,0.143,0.222,0.143,0.000,0.365,0.136,0.177
Nick Hanten,26,9,13,3,1,0,18,8,2,1,0,0.500,0.536,0.692,0.192,1.228,0.414,0.530
Nick Hurlburt,28,8,11,1,0,0,12,6,1,1,0,0.393,0.414,0.429,0.036,0.843,0.294,0.375
Scott Richardson,23,6,12,3,0,0,15,8,2,0,0,0.522,0.560,0.652,0.130,1.212,0.415,0.529
Amory Meltzer,20,4,6,0,0,0,6,5,0,2,1,0.300,0.286,0.300,0.000,0.586,0.204,0.254
David Holm,26,13,16,4,0,0,20,11,2,0,0,0.615,0.643,0.769,0.154,1.412,0.482,0.613
Dan Prince,24,12,13,2,3,3,30,16,1,0,2,0.542,0.519,1.250,0.708,1.769,0.546,0.694
Joey Owen,19,6,11,3,1,0,16,7,1,0,0,0.579,0.600,0.842,0.263,1.442,0.481,0.617
Total:,259,99,134,24,6,6,188,99,19,5,5,0.517,0.541,0.726,0.209,1.267,0.425,0.541
