Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,18,9,11,2,0,2,19,9,2,1,0,0.611,0.650,1.056,0.445,1.706,0.556,0.716
Qaiser Patel,18,12,15,2,0,0,17,9,1,0,0,0.833,0.842,0.944,0.111,1.786,0.615,0.779
Joe Edwards,17,4,7,1,0,0,8,6,2,0,0,0.412,0.474,0.471,0.059,0.945,0.331,0.422
Rich Squitieri,14,6,7,1,0,0,8,5,3,0,0,0.500,0.588,0.571,0.071,1.159,0.407,0.512
Nick Mirman,5,1,1,0,0,0,1,3,1,0,0,0.200,0.333,0.200,0.000,0.533,0.200,0.265
Nick Hanten,20,7,10,1,1,0,13,6,1,1,0,0.500,0.524,0.650,0.150,1.174,0.398,0.510
Scott Richardson,18,6,11,2,0,0,13,6,1,0,0,0.611,0.632,0.722,0.111,1.354,0.465,0.592
Amory Meltzer,15,4,5,0,0,0,5,4,0,2,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Nick Hurlburt,21,7,10,1,0,0,11,6,0,0,0,0.476,0.476,0.524,0.048,1.000,0.345,0.442
David Holm,19,11,12,3,0,0,15,9,2,0,0,0.632,0.667,0.789,0.157,1.456,0.497,0.630
Dan Prince,17,9,9,2,2,2,21,11,1,0,1,0.529,0.526,1.235,0.706,1.761,0.545,0.698
Joey Owen,16,5,10,2,1,0,14,7,0,0,0,0.625,0.625,0.875,0.250,1.500,0.500,0.649
Total:,201,82,109,17,4,5,149,82,14,4,1,0.542,0.569,0.741,0.199,1.310,0.441,0.565
