Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,10,4,7,0,0,1,10,3,1,0,0,0.700,0.727,1.000,0.300,1.727,0.577,0.737
Nick Hanten,8,4,5,0,0,0,5,0,2,0,0,0.625,0.700,0.625,0.000,1.325,0.471,0.585
Oliver Patton,9,2,7,1,0,1,11,5,0,0,0,0.778,0.778,1.222,0.444,2.000,0.656,0.866
Qaiser Patel,10,0,4,1,0,0,5,2,0,1,1,0.400,0.364,0.500,0.100,0.864,0.289,0.358
Nick Mirman,10,0,4,0,0,0,4,2,0,0,0,0.400,0.400,0.400,0.000,0.800,0.280,0.356
Joe Edwards,9,2,3,0,0,0,3,0,0,0,0,0.333,0.333,0.333,0.000,0.666,0.233,0.297
Zac Chestnut,9,1,6,0,0,0,6,0,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Charlie Henschen,10,2,6,0,1,0,8,0,0,0,0,0.600,0.600,0.800,0.200,1.400,0.470,0.606
Amory Meltzer,7,2,4,0,1,0,6,4,0,0,2,0.571,0.444,0.857,0.286,1.301,0.414,0.476
Gordon Walker,9,1,2,0,0,0,2,1,0,2,0,0.222,0.222,0.222,0.000,0.444,0.155,0.198
Scott Richardson,1,0,1,0,0,0,1,1,0,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.890
Total:,92,18,49,2,2,2,61,18,3,3,3,0.533,0.531,0.663,0.130,1.194,0.405,0.513
