Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,4,2,3,1,0,1,7,4,0,0,0,0.750,0.750,1.750,1.000,2.500,0.775,1.058
Justin Lee,4,1,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Qaiser Patel,2,2,1,0,0,0,1,1,1,0,1,0.500,0.500,0.500,0.000,1.000,0.350,0.397
Oliver Patton,4,2,1,0,0,1,4,4,0,0,0,0.250,0.250,1.000,0.750,1.250,0.362,0.517
Rich Squitieri,2,1,1,0,0,0,1,0,1,0,0,0.500,0.667,0.500,0.000,1.167,0.425,0.530
Joe Edwards,3,1,2,0,0,0,2,2,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Nick Mirman,2,1,1,0,0,0,1,0,1,0,0,0.500,0.667,0.500,0.000,1.167,0.425,0.530
Nick Hurlburt,3,3,2,1,0,0,3,2,0,0,0,0.667,0.667,1.000,0.333,1.667,0.550,0.720
Brandon Tautges,3,2,2,0,0,0,2,2,0,0,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Amory Meltzer,3,2,3,0,0,0,3,1,0,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.890
Matt Turner,2,2,2,0,0,0,2,2,1,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.827
Total:,32,19,18,2,0,2,26,19,4,0,1,0.562,0.595,0.812,0.250,1.407,0.471,0.593
