Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,3,0,0,0,0,0,0,2,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Qaiser Patel,3,4,3,1,0,0,4,0,1,0,0,1.000,1.000,1.333,0.333,2.333,0.783,0.938
Oliver Patton,3,1,2,0,0,1,5,3,0,0,1,0.667,0.500,1.667,1.000,2.167,0.642,0.740
Luke Heuer,4,1,2,0,1,0,4,2,0,0,0,0.500,0.500,1.000,0.500,1.500,0.475,0.625
Nick Mirman,4,1,2,0,0,0,2,0,0,0,0,0.500,0.500,0.500,0.000,1.000,0.350,0.445
Scott Richardson,4,0,1,0,0,0,1,1,0,0,0,0.250,0.250,0.250,0.000,0.500,0.175,0.223
Amory Meltzer,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,0.000,2.000,0.700,0.890
Nick Hurlburt,4,0,3,0,0,0,3,2,0,0,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Brandon Tautges,4,2,1,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.000,0.500,0.175,0.223
Matt Johnson,3,2,3,1,0,0,4,1,0,0,0,1.000,1.000,1.333,0.333,2.333,0.783,1.017
Total:,33,11,18,2,1,1,25,11,1,0,2,0.545,0.528,0.758,0.213,1.286,0.427,0.538
