Player,AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,ISO,OPS,GPA,wOBA
Andrew Burch,13,5,7,0,0,1,10,6,0,0,0,0.538,0.538,0.769,0.231,1.307,0.434,0.570
Joe Edwards,10,2,6,1,0,0,7,6,0,0,0,0.600,0.600,0.700,0.100,1.300,0.445,0.572
Rich Squitieri,12,5,9,0,0,0,9,5,0,1,0,0.750,0.750,0.750,0.000,1.500,0.525,0.667
Nick Hanten,7,2,2,0,0,0,2,1,0,0,0,0.286,0.286,0.286,0.000,0.572,0.200,0.254
Nick Hurlburt,13,5,7,1,0,0,8,1,0,0,0,0.538,0.538,0.615,0.077,1.153,0.396,0.508
Amory Meltzer,9,1,4,0,0,0,4,2,1,0,0,0.444,0.500,0.444,0.000,0.944,0.336,0.426
Joey Owen,8,3,4,1,0,0,5,6,0,0,0,0.500,0.500,0.625,0.125,1.125,0.381,0.492
David Holm,10,1,6,0,0,0,6,2,0,0,0,0.600,0.600,0.600,0.000,1.200,0.420,0.534
Sean Aronow,10,3,3,0,0,0,3,1,0,0,0,0.300,0.300,0.300,0.000,0.600,0.210,0.267
Jake Galbraith,3,2,3,1,0,0,4,0,0,0,0,1.000,1.000,1.333,0.333,2.333,0.783,1.017
Morgan Dunkin,3,1,2,0,0,0,2,0,0,1,0,0.667,0.667,0.667,0.000,1.334,0.467,0.593
Total:,98,30,53,4,0,1,60,30,1,2,0,0.541,0.545,0.612,0.071,1.157,0.398,0.511
